artist;id
Rob Zombie;3HVdAiMNjYrQIKlOGxoGh5
Marilyn Manson;2VYQTNDsvvKN9wmU5W7xpj
Fear Factory;74Hj7BmnUXyx2udrIEIKwX
Rammstein;6wWVKhxIU2cEi0K81v7HvP
Dope;7fWgqc4HJi3pcHhK8hKg2p
Filter;01WjpKiWVNurV5hjIadB8C
Static-X;7JDSHlDdVTo7aZKdQZ53Vf
Orgy;4uYwLU7k03RCQSRXGtQGg0
Skillet;49bzE5vRBRIota4qeHtQM8
Nine Inch Nails;0X380XXQSNBYuleKzav5UO
Motionless In White;6MwPCCR936cYfM1dLsGVnl
Coal Chamber;69k6uTSZMPLpSnhmLCiKxQ
Lindemann;65A714FqhSPjoFZeffQbTv
Powerman 5000;5imUS9dQyCbAjUEJJ9QyWC
Ministry;1DXylZlWbVvlckNqwvjTEt
OOMPH!;2mZITUvfEwrKlksoGpHTsM
Celldweller;4BKyei61gtyDFxlKhcvBJJ
3TEETH;4GHi4xklo0FT0l2CNuLFh2
Gothminister;2S3xwpueZpPVUDTTv7Wefx
Stabbing Westward;5daXMUbrPh8oX9Nd4CnToG
Erdling;1YbFcjdUGqumvNIWLVGcJK
SKYND;3Ca8UhvMDcgM1zyfAZGw3M
KMFDM;3V4IvzRQYP5mzuVtkcHgVa
Megaherz;4tM8qmqg5cEZPHNLNQwHeb
Skinny Puppy;5Mu0EMEsUIVE132pNMywns
Killing Joke;0Zy4ncr8h1jd7Nzr9946fD
Emigrate;29fyAsYdzkCIH96xB40um1
Turmion Kätilöt;76t3VPzCEYAlrZhVAY7yjg
Combichrist;5556RAgwP70PnXbaUTGNbR
Gravity Kills;3V3ChkwvlWDJtMFuOKfYiB
HEALTH;6FfjnGXMhxSsJTuGLWBDth
Ost+Front;2eYQ3xCgZtpkVQNgXlpuRs
Machines Of Loving Grace;7p8Z7MmqMYCa7ZKQKxRBKO
Blue Stahli;4DWnSG0RYPAds8EIKY26q3
My Life With The Thrill Kill Kult;7FfAD7EYZbQ7aHPy9ujduD
NA CHUI;7soJFrhNuBUefRervjk2kh
Pitchshifter;10aXVE8RSUCeMzaFvBnZ2i
American Head Charge;6Ig4qybKXgMN2FLSM7GKau
Eisbrecher;6ul6vL8Hg5jTulDi0Ac8ao
Rabbit Junk;3Cnkej21cJ1XgbAh98CbaS
Davey Suicide;0JX3GwUe9y5BS2WuQ3qxsV
Dope Stars Inc.;0b3Ih1VYdJfBfCPulSWBoA
Boom Kitty;3h4xRI8zK3aZygXhxNFjoR
Code Orange;6qtECqesbU29iftyeWmldK
