artist;track;track_id;track_listens
Rob Zombie;Dragula;6Nm8h73ycDG2saCnZV8poF;327,239,684
Rob Zombie;Living Dead Girl;10V8XpuyMoEcSMfM79WDET;129,140,487
Rob Zombie;Superbeast;4eNnMvUrSu2TRpySjVC0Pv;90,839,028
Rob Zombie;Feel So Numb;6KnNDix4Owr4vNmsPhLmxD;53,939,982
Rob Zombie;The Satanic Rites of Blacula;1JeGX4cixemJfBJl6XGQES;9,809,694
Marilyn Manson;The Beautiful People;2aIB1CdRRG7YLBu9hNw9nR;310,771,525
Marilyn Manson;Sweet Dreams (Are Made Of This);2302lUwfZ4S4dVyPOCDFnQ;325,977,509
Marilyn Manson;Tainted Love;0ZeKQudydO2uQJpfr6gNC8;148,564,479
Marilyn Manson;The Fight Song;6pfdW2NouUI3ZnugM7r0G0;75,088,783
Marilyn Manson;This Is The New Shit;5P13mfqn9o3ToFPTxowEgO;128,860,567
Fear Factory;Linchpin;4qjvr0qMFUo26SxwC4VygS;40,754,303
Fear Factory;Replica;5YeQoMo5py82YmqXMTjM5S;21,274,309
Fear Factory;Soul Hacker;1ZEHPid4qHr05Z7QpwLJuW;5,820,876
Fear Factory;Edgecrusher;12PJ8kfsZI7bZP3DGmsjqy;11,388,144
Fear Factory;Cars - Remix;5gp7nuCjOwI79WfO65di78;14,081,710
Rammstein;Sonne;3gVhsZtseYtY1fMuyYq06F;343,012,154
Rammstein;Du hast;6XcoiOYiNbIxzpt8WRxq8Z;470,009,247
Rammstein;Deutschland;2bPGTMB5sFfFYQ2YvSmup0;382,523,950
Rammstein;Engel;5Zuboc3Cj9Ldnc8HyUnNUK;230,346,509
Rammstein;Dicke Titten;5KTBaWu8IOczQ0sPWzZ7MY;86,480,248
Dope;Die MF Die;5bU4KX47KqtDKKaLM4QCzh;148,993,684
Dope;You Spin Me Round (Like A Record);0Hxty2K8F2DrrCXQyQVpBo;73,342,022
Dope;Debonaire;0eEJrthp6PcMd33xs2NLrc;49,995,313
Dope;Rebel Yell;2njA611I0vuqOyeq356mGO;17,802,183
Dope;My Funeral;6JEgyvjdGb4CYzcCh6fssP;13,888,961
Filter;Take A Picture;6q4aoWgTQ8td2AvqQXuFqm;91,498,944
Filter;Hey Man, Nice Shot - Remastered Version;1IyHPt3b6BrhdMwNyk0VM0;90,279,314
Filter;(Can't You) Trip Like I Do - 2009 Remastered Version;3qiXr7dKZkCElXo2Lk6ICK;13,718,247
Filter;Welcome To The Fold;0oPcNTwHKpYnDZfkcdOsiA;13,129,213
Filter;Obliteration;4JSHiFEX1B19USiqbiW9pw;229,687
Static-X;Push It;6O7pihLJgeqxUnG7u9oYL2;88,506,946
Static-X;The Only;35ZmCVnfYRdK1iLGCxNhMa;81,041,793
Static-X;I'm With Stupid;6uOzYMGucTA0MAFwS2FNB2;20,516,119
Static-X;Cold - 2022 Remaster;6BZ5pRMvPfxsJLLeztmme5;24,749,382
Static-X;Skinnyman;6doZryBQYC5hQJdx1lyc2W;16,009,166
Orgy;Blue Monday;5267gVdYWrLoz6ClOhlqmE;56,366,122
Orgy;Stitches;5Y76U25W2UAZF9AwfrFAoJ;10,826,138
Orgy;Fiction - Dreams in Digital;6NldY5aZigWeeGIMY41qG6;7,054,282
Orgy;Opticon;0FXxj9RuhwtQbpUCoDgju7;3,845,602
Orgy;Blue Monday - Single Mix;7wKxPTr69jQEjOu0nNcijl;5,117,201
Skillet;Monster;2UREu1Y8CO4jXkbvqAtP7g;572,004,287
Skillet;Hero;4CbKVDZkYKdv69I4bCaKUq;376,650,758
Skillet;Feel Invincible;0i8JFpqe9cKwnrcvoNgl1L;310,428,590
Skillet;Awake and Alive;0nkzd3yNniB767zSDDdLZ3;225,722,106
Skillet;The Resistance;5O9Dz0h08LuBi0aVvDcylh;164,397,805
Nine Inch Nails;Closer;5mc6EyF1OIEOhAkD0Gg9Lc;222,849,630
Nine Inch Nails;The Hand That Feeds;4L5r9XNiWJ7cbqcIiNvVes;109,408,460
Nine Inch Nails;Head Like A Hole;3ckd4YA4LcD3j50rfIVwUe;58,127,182
Nine Inch Nails;Hurt;27tX58NOpv1YKQ0abW7EPy;85,564,638
