artist;track;track_id;track_listens
Rob Zombie;Dragula;6Nm8h73ycDG2saCnZV8poF;328,982,835
Rob Zombie;Living Dead Girl;10V8XpuyMoEcSMfM79WDET;129,699,990
Rob Zombie;Superbeast;4eNnMvUrSu2TRpySjVC0Pv;91,179,723
Rob Zombie;Feel So Numb;6KnNDix4Owr4vNmsPhLmxD;54,192,259
Rob Zombie;The Satanic Rites of Blacula;1JeGX4cixemJfBJl6XGQES;10,018,196
Marilyn Manson;The Beautiful People;2aIB1CdRRG7YLBu9hNw9nR;311,716,373
Marilyn Manson;Sweet Dreams (Are Made Of This);2302lUwfZ4S4dVyPOCDFnQ;326,846,385
Marilyn Manson;Tainted Love;0ZeKQudydO2uQJpfr6gNC8;148,935,036
Marilyn Manson;This Is The New Shit;5P13mfqn9o3ToFPTxowEgO;129,156,092
Marilyn Manson;The Fight Song;6pfdW2NouUI3ZnugM7r0G0;75,379,370
Fear Factory;Linchpin;4qjvr0qMFUo26SxwC4VygS;40,869,117
Fear Factory;Replica;5YeQoMo5py82YmqXMTjM5S;21,348,628
Fear Factory;Soul Hacker;1ZEHPid4qHr05Z7QpwLJuW;5,868,393
Fear Factory;Edgecrusher;12PJ8kfsZI7bZP3DGmsjqy;11,416,069
Fear Factory;Cars - Remix;5gp7nuCjOwI79WfO65di78;14,108,485
Rammstein;Sonne;3gVhsZtseYtY1fMuyYq06F;344,936,689
Rammstein;Du hast;6XcoiOYiNbIxzpt8WRxq8Z;471,572,460
Rammstein;Deutschland;2bPGTMB5sFfFYQ2YvSmup0;383,808,781
Rammstein;Engel;5Zuboc3Cj9Ldnc8HyUnNUK;231,172,440
Rammstein;Dicke Titten;5KTBaWu8IOczQ0sPWzZ7MY;87,111,744
Dope;Die MF Die;5bU4KX47KqtDKKaLM4QCzh;149,316,770
Dope;You Spin Me Round (Like A Record);0Hxty2K8F2DrrCXQyQVpBo;73,511,958
Dope;Debonaire;0eEJrthp6PcMd33xs2NLrc;50,171,231
Dope;Rebel Yell;2njA611I0vuqOyeq356mGO;17,844,453
Dope;My Funeral;6JEgyvjdGb4CYzcCh6fssP;13,919,359
Filter;Take A Picture;6q4aoWgTQ8td2AvqQXuFqm;91,750,882
Filter;Hey Man, Nice Shot - Remastered Version;1IyHPt3b6BrhdMwNyk0VM0;90,514,407
Filter;(Can't You) Trip Like I Do - 2009 Remastered Version;3qiXr7dKZkCElXo2Lk6ICK;13,752,502
Filter;Welcome To The Fold;0oPcNTwHKpYnDZfkcdOsiA;13,155,635
Filter;Obliteration;3juffqyuhqPTonmbbi4tDs;256,202
Static-X;Push It;6O7pihLJgeqxUnG7u9oYL2;88,795,035
Static-X;The Only;35ZmCVnfYRdK1iLGCxNhMa;81,278,910
Static-X;I'm With Stupid;6uOzYMGucTA0MAFwS2FNB2;20,590,985
Static-X;Cold - 2022 Remaster;6BZ5pRMvPfxsJLLeztmme5;24,816,124
Static-X;Skinnyman;6doZryBQYC5hQJdx1lyc2W;16,064,719
Orgy;Blue Monday;5267gVdYWrLoz6ClOhlqmE;56,545,667
Orgy;Stitches;5Y76U25W2UAZF9AwfrFAoJ;10,887,076
Orgy;Fiction - Dreams in Digital;6NldY5aZigWeeGIMY41qG6;7,072,962
Orgy;Opticon;0FXxj9RuhwtQbpUCoDgju7;3,858,458
Orgy;Blue Monday - Single Mix;7wKxPTr69jQEjOu0nNcijl;5,124,797
Skillet;Monster;2UREu1Y8CO4jXkbvqAtP7g;574,048,907
Skillet;Hero;4CbKVDZkYKdv69I4bCaKUq;377,593,721
